total_depth,sample_depth,Cond,DO,Temp,pH,SS,TP,TDP,DIP,DOP,PP,TN,TDN,DIN,NH4,NO3,DSi,Chl-a,site,date,lat,lon,campaign
1.9,1,123,2.85,25.2,6.48,478,1.25,1.24,1.19,0.05,0.01,93.94,55,36.42,13.81,22.62,,13.8,1,2013-01-20,13.2479333333333,103.823,01/2013
2.3,1,187,6.82,26,6.52,25.4,1.24,1.06,0,1.06,0.17,45.72,37.72,25.81,23.61,2.19,,14.1,2,2013-01-20,13.2331166666667,103.8005,01/2013
2.2,1,225,6.91,25.7,6.67,26.7,1.47,1.15,0.12,1.03,0.32,40.94,31.06,19.24,12.99,6.26,,21.2,3,2013-01-20,13.2397166666667,103.7725,01/2013
2,1,214,6.89,26.1,6.62,39.2,1.6,1.6,1.42,0.18,0,52.71,31.02,20.92,11.51,9.41,,36.1,4,2013-01-20,13.2343833333333,103.723333333333,01/2013
1.9,1,232,8.65,27.7,6.49,16.2,1,0.98,0.08,0.9,0.03,43.14,40.05,19.88,10.93,8.95,,19.4,5,2013-01-20,13.2313,103.704166666667,01/2013
1.4,0.7,194,1.93,26.9,6.24,7.3,1.11,0.78,0,0.78,0.33,49.28,31.32,21.93,11.61,10.32,,9.2,6,2013-01-20,13.2348166666667,103.682,01/2013
2.4,1.2,226,2.26,24.9,6.33,10.5,1.11,0.89,0.14,0.75,0.22,69.62,62.63,22.71,14.72,8,,9.2,7,2013-01-21,13.2154666666667,103.689666666667,01/2013
2,1,192,5.63,25.1,6.44,64.7,1.19,0.78,0.38,0.4,0.41,66.69,56.58,22.75,13,9.75,,18.4,8,2013-01-21,13.1995833333333,103.7195,01/2013
2.3,1.1,155,6.39,25.1,6.45,63.8,1.5,0.91,0.42,0.48,0.6,58.79,47.25,27.77,14.32,13.45,,15,9,2013-01-21,13.1738,103.744833333333,01/2013
2.4,1.2,155,6.72,25.4,6.13,55.4,1.19,0.92,0.4,0.52,0.28,60.08,46.53,22.02,13.27,8.75,,15.8,10,2013-01-21,13.14685,103.774166666667,01/2013
2.4,1.2,147,7.18,26,6.37,40.8,1.35,0.83,0.26,0.57,0.52,42.59,34.73,17.4,12.51,4.89,,13.5,11,2013-01-21,13.1118166666667,103.802,01/2013
2.4,1.2,146,7.47,26.5,6.34,38.8,1.29,0.93,0.22,0.71,0.36,51.02,35.66,16.85,13.4,3.46,,9.1,12,2013-01-21,13.08205,103.831833333333,01/2013
2.5,1.2,155,7.65,26.2,6.35,37.5,1.33,0.99,0.17,0.82,0.34,60.27,30.41,18.44,12.91,5.53,,10.7,13,2013-01-21,13.05375,103.864,01/2013
1.9,1,232,3.09,25.2,6.37,15.8,0.87,0.68,0.12,0.56,0.19,47.08,42.33,15.74,13.04,2.7,,14.5,14,2013-01-22,13.2177666666667,103.7085,01/2013
2.3,1.1,176,6.78,25.9,6.34,70.3,0.93,0.85,0.32,0.53,0.09,66.83,60.03,27.86,12.9,14.95,,19.9,15,2013-01-22,13.2063666666667,103.745833333333,01/2013
2.3,1.1,165,7.09,26,6.29,78.7,1.31,0.88,0.86,0.01,0.43,65.86,50.39,35.56,22.75,12.81,,16.2,16,2013-01-22,13.1952,103.781333333333,01/2013
2.6,1.3,164,6.98,26.3,6.29,55.7,1.25,1.14,0.61,0.52,0.11,60.27,53.67,26.83,15.43,11.4,,12,17,2013-01-22,13.1822333333333,103.817666666667,01/2013
2.4,1.2,169,8.02,26.6,6.25,55.6,1.3,0.77,0.63,0.13,0.53,55.1,49.17,22.54,13.3,9.24,,16.1,18,2013-01-22,13.1642833333333,103.857666666667,01/2013
2.7,1.3,166,8.79,26.3,6.28,26.4,1.09,0.8,0.11,0.69,0.29,39.68,37.73,19.66,13.1,6.56,,24,19,2013-01-22,13.1256333333333,103.878166666667,01/2013
2.6,1.3,176,8.57,27.4,6.26,37.5,0.95,0.42,0.29,0.13,0.53,68.24,52.18,24.12,14.02,10.1,,20.3,20,2013-01-22,13.1648666666667,103.884666666667,01/2013
2.6,1.3,192,8.03,27.3,6.53,57.8,1.05,0.93,0.28,0.65,0.12,60.99,45.2,26.9,15.52,11.38,,18.9,21,2013-01-22,13.19525,103.861333333333,01/2013
