date,depth,DIP,DIN,TP,TN,NO3,DSi,chla,DO,cond,env,dataset,DIN.DIP,TN.TP,season,lon,lat,region,water_level_m
2015-10-04,surface,0.41,13.59,,,10.27,336.83,3.4,3.68,130,pelagic,miller,33.1463414634146,,high,104.16687,12.65388,Central,5.185
2015-10-04,surface,0.2,1.824,,,0.464,356.697,7.5,3,100,edge,miller,9.12,,high,104.14899,12.65222,Central,5.185
2015-10-04,surface,0.097,6.841,,,0.135,473.297,10.6,0.41,60,floodplain,miller,70.5257731958763,,high,104.1413,12.64567,Central,5.185
2015-10-04,surface,0.22,1.353,,,0,395.377,9.9,0.75,60,floodplain,miller,6.15,,high,104.13542,12.64003,Central,5.185
2015-10-04,surface,0.136,2.511,,,0.195,257.277,8.1,1.11,60,floodplain,miller,18.4632352941176,,high,104.12852,12.63007,Central,5.185
2015-10-04,surface,0.186,2.224,,,0.006,126.596,7.6,2.93,60,floodplain,miller,11.9569892473118,,high,104.12143,12.6254,Central,5.185
2015-10-04,surface,0.186,2.224,,,0.006,126.596,7.6,2.93,30,floodplain,miller,11.9569892473118,,high,104.12143,12.6254,Central,5.185
2015-10-25,surface,0.489,27.029,,,0.755,219.153,3.5,5.89,110,pelagic,miller,55.2740286298569,,high,104.48435,12.51286,South,5.18
2015-10-25,surface,0.589,10.148,,,1.704,249.882,3.9,2.03,110,edge,miller,17.2292020373514,,high,104.48435,12.51012,South,5.18
2015-10-25,surface,0.34,12.552,,,0.504,270.034,4.7,2.03,120,floodplain,miller,36.9176470588235,,high,104.47363,12.50553,South,5.18
2015-10-25,surface,0.268,22.711,,,0.467,211.417,6.8,1.8,120,floodplain,miller,84.7425373134328,,high,104.47293,12.49585,South,5.18
2015-10-25,surface,0.32,11.106,,,0.504,224.642,3.1,3.15,120,floodplain,miller,34.70625,,high,104.46839,12.48966,South,5.18
2015-10-25,surface,0.273,18.736,,,0.53,268.485,5.7,2.08,70,floodplain,miller,68.6300366300366,,high,104.46389,12.48377,South,5.18
2015-11-04,surface,0.225,10.481,,,0.57,322.009,15.2,0.87,170,pelagic,miller,46.5822222222222,,high,103.71883,13.0735,North,4.86
2015-11-04,surface,0.225,10.481,,,0.57,322.009,15.3,0.74,170,pelagic,miller,46.5822222222222,,high,103.71883,13.0735,North,4.86
2015-11-04,surface,0.61,17.571,,,0.389,422.535,13.1,0.46,190,edge,miller,28.8049180327869,,high,103.69593,13.06167,North,4.86
2015-11-04,surface,0.292,14.935,,,0.418,477.925,14.5,1.04,180,floodplain,miller,51.1472602739726,,high,103.68385,13.06082,North,4.86
2015-11-04,surface,0.36,8.835,,,0.312,434.149,11.5,0.9,180,floodplain,miller,24.5416666666667,,high,103.68333,13.05496,North,4.86
2015-11-04,surface,0.269,0.88,,,0,655.535,34,0.4,190,floodplain,miller,3.27137546468401,,high,103.65775,13.03392,North,4.86
2015-11-04,surface,0.391,12.142,,,0.262,615.576,15.5,0.76,120,floodplain,miller,31.0537084398977,,high,103.66675,13.04305,North,4.86
2016-03-03,surface,0.945,19.296,,,17.786,726.69,20.6,,160,pelagic,miller,20.4190476190476,,low,104.16687,12.65388,Central,0.77
2016-03-03,surface,0.158,8.594,,,1.168,627.329,16.8,0,160,edge,miller,54.3924050632911,,low,104.14899,12.65222,Central,0.77
2016-03-02,surface,1.43,59.35,,,57.797,721.619,16.1,6.4,170,pelagic,miller,41.5034965034965,,low,104.48435,12.51286,South,0.835
2016-03-02,surface,0.051,66.208,,,51.317,439.522,16.1,0,150,edge,miller,1298.19607843137,,low,104.48435,12.51012,South,0.835
2016-03-07,surface,0.377,2.529,,,1.5,647.383,,,170,pelagic,miller,6.70822281167109,,low,103.71883,13.0735,North,0.76
2016-03-07,surface,0.369,1.565,,,0.631,334.636,4.8,,170,edge,miller,4.24119241192412,,low,103.69593,13.06167,North,0.76
2014-09-14,surface,0.113130764705882,2.57641299861591,,,0.774981087197232,156.579721813495,,,,pelagic,holtgrieve,22.7737610128782,,high,103.70402,13.24449,North,7.135
2014-09-14,surface,0.0703939557647059,1.9131552427128,,,0.430999885799308,113.631325514021,,,,edge,holtgrieve,27.1778339763657,,high,103.69703,13.24751,North,7.135
2014-09-14,surface,0.111552376,6.31992542334694,,,1.328229176,92.126337312,,,,floodplain,holtgrieve,56.6543326997082,,high,103.69299,13.24803,North,7.135
2014-09-14,surface,0.134873504,11.7462183651705,,,6.13907204628374,170.611946245714,,,,river_tributary,holtgrieve,87.0906294921386,,high,103.64252,13.2487,North,7.135
2014-09-14,surface,0.487688764705882,9.85243568556423,,,1.65327330795848,460.752862617143,,,,floodplain,holtgrieve,20.2023019568763,,high,103.6957,13.08908,North,7.135
2014-09-14,surface,0.234571353411765,1.81805634458131,,,0.351092956318339,55.2619869184498,,,,pelagic,holtgrieve,7.75054719230744,,high,104.43185,12.57056,South,7.135
