dataset,region,env,lon,lat,water_year,inundation
miller,Central,pelagic,104.16687,12.65388,2016,398
miller,Central,edge,104.14899,12.65222,2016,211
miller,Central,floodplain,104.1413,12.64567,2016,204
miller,Central,floodplain,104.13542,12.64003,2016,183
miller,Central,floodplain,104.12852,12.63007,2016,190
miller,Central,floodplain,104.12143,12.6254,2016,2
miller,South,pelagic,104.48435,12.51286,2016,414
miller,South,edge,104.48435,12.51012,2016,212
miller,South,floodplain,104.47363,12.50553,2016,79
miller,South,floodplain,104.47293,12.49585,2016,2
miller,South,floodplain,104.46839,12.48966,2016,82
miller,South,floodplain,104.46389,12.48377,2016,2
miller,North,pelagic,103.71883,13.0735,2016,329
miller,North,edge,103.69593,13.06167,2016,267
miller,North,floodplain,103.68385,13.06082,2016,252
miller,North,floodplain,103.68333,13.05496,2016,292
miller,North,floodplain,103.65775,13.03392,2016,161
miller,North,floodplain,103.66675,13.04305,2016,78
holtgrieve,North,pelagic,103.70402,13.24449,2015,300
holtgrieve,North,edge,103.69703,13.24751,2015,160
holtgrieve,North,floodplain,103.69299,13.24803,2015,74
holtgrieve,North,river_tributary,103.64252,13.2487,2015,
holtgrieve,North,floodplain,103.6957,13.08908,2015,0
holtgrieve,South,pelagic,104.43185,12.57056,2015,367
holtgrieve,South,edge,104.43597,12.57097,2015,367
holtgrieve,South,floodplain,104.46304,12.54738,2015,160
holtgrieve,Central,pelagic,104.35156,12.74106,2015,398
holtgrieve,Central,edge,104.34833,12.74308,2015,398
holtgrieve,Central,floodplain,104.33956,12.74914,2015,330
holtgrieve,North,pelagic,104.08109,13.0605,2015,351
holtgrieve,North,edge,104.09797,13.06239,2015,111
holtgrieve,South,river_tributary,104.4882,12.5515,2015,
holtgrieve,Central,pelagic,104.20988,12.69156,2015,407
holtgrieve,Central,pelagic,104.16687,12.65388,2015,407
holtgrieve,Central,edge,104.14899,12.65222,2015,192
holtgrieve,Central,floodplain,104.14134,12.64576,2015,129
holtgrieve,"",river_tributary,104.29267,12.33009,2015,
holtgrieve,Central,pelagic,104.3518,12.74111,2015,398
holtgrieve,Central,edge,104.3491,12.74496,2015,151
holtgrieve,Central,floodplain,104.3396,12.74914,2015,330
holtgrieve,North,river_tributary,103.38533,13.1499,2015,
holtgrieve,North,pelagic,104.04786,13.03464,2015,367
holtgrieve,North,edge,104.05649,13.0357,2015,367
holtgrieve,North,pelagic,103.71352,13.23652,2015,351
holtgrieve,North,edge,103.70249,13.2396,2015,278
holtgrieve,North,pelagic,104.08556,13.05433,2015,351
holtgrieve,North,edge,104.09011,13.06404,2015,267
holtgrieve,North,edge,103.71355,13.10937,2015,270
