Station,date,Sampling.Depth,Temp,DO,pH,Chl.a,NO3+NO2.(uM),NH4.(uM),DIN,PO4.(uM),N/P.ratio,POC,DP,PO4/DP,Si_uM,env,lat,lon
1,2014-03-01,0,29.8,6.29,7.04,15.9189888,2.79,0.46,3.25,0.34,9.55882352941176,,0.52866099900402,0.643134259271156,270.95832369016,pelagic,12.5344444444444,104.383055555556
1,2014-10-15,0,30.7,6.78,8.111152,9.95,0.5,0.8,1.3,0.06,21.6666666666667,,1.39256231976446,0.0430860430075033,72.2792900251019,pelagic,12.5344444444444,104.383055555556
2,2014-03-01,0,28.5,7.54,7.86,53.048424,0.45,1.45,1.9,0.11,17.2727272727273,,0.3247707889799,0.338700411898214,196.186644353848,pelagic,12.6019444444444,104.399166666667
2,2014-10-15,0,30.8,7.44,8.131896,7.46,0.17,0.67,0.84,0.05,16.8,,1.31630668881988,0.0379850686961312,88.6578483559132,pelagic,12.6019444444444,104.399166666667
3,2014-03-01,0,28.9,7.33,7.33,10.3553736,1.16,0.85,2.01,0.56,3.58928571428571,,0.493346920533868,1.13510387253255,189.065532036104,pelagic,12.6722222222222,104.408055555556
3,2014-10-15,0,30.8,7.65,8.194128,7.99,0.1,0.45,0.55,0.02,27.5,,0.610021868794902,0.032785709862353,79.400402342846,pelagic,12.6722222222222,104.408055555556
4,2014-03-01,0,29.2,7.75,7.3,53.5392,0.39,1.75,2.14,0.36,5.94444444444445,,0.134168012448638,2.68320289933352,133.164800341813,pelagic,12.6922222222222,104.348333333333
4,2014-10-15,0,31,7.68,8.142268,11.08,1.01,3.2,4.21,0.06,70.1666666666667,,0.221402191098111,0.271000028059397,97.203183137206,pelagic,12.6922222222222,104.348333333333
5,2014-03-01,0,29.5,7.28,7.63,10.3776816,0.13,0.56,0.69,0.25,2.76,,0.46801876124754,0.534166620444031,270.246212458386,pelagic,12.6333333333333,104.233333333333
5,2014-10-15,0,30.7,7.99,8.401568,20.63,0.82,0.71,1.53,0.08,19.125,,0.176823564708759,0.452428386068144,106.104573534386,pelagic,12.6333333333333,104.233333333333
