model,delta,variable,value
1,0,DIN,TRUE
2,0.205885108057259,DIN,TRUE
3,1.31296121798505,DIN,TRUE
4,1.62258342233599,DIN,TRUE
5,2.40948335983876,DIN,TRUE
6,2.74558047588255,DIN,TRUE
7,2.90957044233926,DIN,TRUE
8,2.92881606158517,DIN,FALSE
9,3.12235053904749,DIN,FALSE
10,3.21812074424304,DIN,TRUE
1,0,DIP,TRUE
2,0.205885108057259,DIP,TRUE
3,1.31296121798505,DIP,TRUE
4,1.62258342233599,DIP,TRUE
5,2.40948335983876,DIP,TRUE
6,2.74558047588255,DIP,TRUE
7,2.90957044233926,DIP,TRUE
8,2.92881606158517,DIP,TRUE
9,3.12235053904749,DIP,FALSE
10,3.21812074424304,DIP,TRUE
1,0,DSi,TRUE
2,0.205885108057259,DSi,TRUE
3,1.31296121798505,DSi,TRUE
4,1.62258342233599,DSi,FALSE
5,2.40948335983876,DSi,TRUE
6,2.74558047588255,DSi,TRUE
7,2.90957044233926,DSi,TRUE
8,2.92881606158517,DSi,TRUE
9,3.12235053904749,DSi,TRUE
10,3.21812074424304,DSi,FALSE
1,0,N/P,TRUE
2,0.205885108057259,N/P,TRUE
3,1.31296121798505,N/P,TRUE
4,1.62258342233599,N/P,TRUE
5,2.40948335983876,N/P,FALSE
6,2.74558047588255,N/P,FALSE
7,2.90957044233926,N/P,TRUE
8,2.92881606158517,N/P,FALSE
9,3.12235053904749,N/P,FALSE
10,3.21812074424304,N/P,FALSE
1,0,region,FALSE
2,0.205885108057259,region,TRUE
3,1.31296121798505,region,TRUE
4,1.62258342233599,region,FALSE
5,2.40948335983876,region,TRUE
6,2.74558047588255,region,FALSE
7,2.90957044233926,region,FALSE
8,2.92881606158517,region,FALSE
9,3.12235053904749,region,TRUE
10,3.21812074424304,region,FALSE
1,0,dataset,TRUE
2,0.205885108057259,dataset,TRUE
3,1.31296121798505,dataset,TRUE
4,1.62258342233599,dataset,TRUE
5,2.40948335983876,dataset,TRUE
6,2.74558047588255,dataset,TRUE
7,2.90957044233926,dataset,TRUE
8,2.92881606158517,dataset,TRUE
9,3.12235053904749,dataset,TRUE
10,3.21812074424304,dataset,TRUE
1,0,season,TRUE
2,0.205885108057259,season,TRUE
3,1.31296121798505,season,TRUE
4,1.62258342233599,season,TRUE
5,2.40948335983876,season,TRUE
6,2.74558047588255,season,TRUE
7,2.90957044233926,season,TRUE
8,2.92881606158517,season,TRUE
9,3.12235053904749,season,TRUE
10,3.21812074424304,season,TRUE
1,0,DIN * season,FALSE
2,0.205885108057259,DIN * season,FALSE
3,1.31296121798505,DIN * season,TRUE
4,1.62258342233599,DIN * season,FALSE
5,2.40948335983876,DIN * season,TRUE
6,2.74558047588255,DIN * season,FALSE
7,2.90957044233926,DIN * season,TRUE
8,2.92881606158517,DIN * season,FALSE
9,3.12235053904749,DIN * season,FALSE
10,3.21812074424304,DIN * season,FALSE
1,0,DIP * season,TRUE
2,0.205885108057259,DIP * season,TRUE
3,1.31296121798505,DIP * season,TRUE
4,1.62258342233599,DIP * season,TRUE
5,2.40948335983876,DIP * season,TRUE
6,2.74558047588255,DIP * season,TRUE
7,2.90957044233926,DIP * season,TRUE
8,2.92881606158517,DIP * season,TRUE
9,3.12235053904749,DIP * season,FALSE
10,3.21812074424304,DIP * season,TRUE
1,0,DSi * season,FALSE
2,0.205885108057259,DSi * season,FALSE
3,1.31296121798505,DSi * season,FALSE
4,1.62258342233599,DSi * season,FALSE
5,2.40948335983876,DSi * season,FALSE
6,2.74558047588255,DSi * season,FALSE
7,2.90957044233926,DSi * season,FALSE
8,2.92881606158517,DSi * season,FALSE
9,3.12235053904749,DSi * season,FALSE
10,3.21812074424304,DSi * season,FALSE
