model,delta,variable,value
1,0,TN,TRUE
2,1.13686837721616e-13,TN,TRUE
3,0.762947954994729,TN,TRUE
4,0.762947954994843,TN,TRUE
5,2.47609205520689,TN,TRUE
6,2.47609205520689,TN,TRUE
7,3.11372408628245,TN,TRUE
8,3.11372408628256,TN,TRUE
9,3.22272371763677,TN,TRUE
10,3.22272371763677,TN,TRUE
1,0,TP,TRUE
2,1.13686837721616e-13,TP,TRUE
3,0.762947954994729,TP,TRUE
4,0.762947954994843,TP,TRUE
5,2.47609205520689,TP,TRUE
6,2.47609205520689,TP,TRUE
7,3.11372408628245,TP,TRUE
8,3.11372408628256,TP,TRUE
9,3.22272371763677,TP,TRUE
10,3.22272371763677,TP,TRUE
1,0,DSi,FALSE
2,1.13686837721616e-13,DSi,FALSE
3,0.762947954994729,DSi,TRUE
4,0.762947954994843,DSi,TRUE
5,2.47609205520689,DSi,FALSE
6,2.47609205520689,DSi,FALSE
7,3.11372408628245,DSi,TRUE
8,3.11372408628256,DSi,TRUE
9,3.22272371763677,DSi,TRUE
10,3.22272371763677,DSi,TRUE
1,0,N/P,FALSE
2,1.13686837721616e-13,N/P,FALSE
3,0.762947954994729,N/P,FALSE
4,0.762947954994843,N/P,FALSE
5,2.47609205520689,N/P,TRUE
6,2.47609205520689,N/P,TRUE
7,3.11372408628245,N/P,FALSE
8,3.11372408628256,N/P,FALSE
9,3.22272371763677,N/P,TRUE
10,3.22272371763677,N/P,TRUE
1,0,region,TRUE
2,1.13686837721616e-13,region,TRUE
3,0.762947954994729,region,TRUE
4,0.762947954994843,region,TRUE
5,2.47609205520689,region,TRUE
6,2.47609205520689,region,TRUE
7,3.11372408628245,region,TRUE
8,3.11372408628256,region,TRUE
9,3.22272371763677,region,TRUE
10,3.22272371763677,region,TRUE
1,0,dataset,FALSE
2,1.13686837721616e-13,dataset,TRUE
3,0.762947954994729,dataset,TRUE
4,0.762947954994843,dataset,FALSE
5,2.47609205520689,dataset,FALSE
6,2.47609205520689,dataset,TRUE
7,3.11372408628245,dataset,FALSE
8,3.11372408628256,dataset,TRUE
9,3.22272371763677,dataset,FALSE
10,3.22272371763677,dataset,TRUE
1,0,season,TRUE
2,1.13686837721616e-13,season,TRUE
3,0.762947954994729,season,TRUE
4,0.762947954994843,season,TRUE
5,2.47609205520689,season,TRUE
6,2.47609205520689,season,TRUE
7,3.11372408628245,season,TRUE
8,3.11372408628256,season,TRUE
9,3.22272371763677,season,TRUE
10,3.22272371763677,season,TRUE
1,0,TN * season,FALSE
2,1.13686837721616e-13,TN * season,FALSE
3,0.762947954994729,TN * season,FALSE
4,0.762947954994843,TN * season,FALSE
5,2.47609205520689,TN * season,FALSE
6,2.47609205520689,TN * season,FALSE
7,3.11372408628245,TN * season,TRUE
8,3.11372408628256,TN * season,TRUE
9,3.22272371763677,TN * season,FALSE
10,3.22272371763677,TN * season,FALSE
1,0,TP * season,TRUE
2,1.13686837721616e-13,TP * season,TRUE
3,0.762947954994729,TP * season,TRUE
4,0.762947954994843,TP * season,TRUE
5,2.47609205520689,TP * season,TRUE
6,2.47609205520689,TP * season,TRUE
7,3.11372408628245,TP * season,TRUE
8,3.11372408628256,TP * season,TRUE
9,3.22272371763677,TP * season,TRUE
10,3.22272371763677,TP * season,TRUE
1,0,DSi * season,FALSE
2,1.13686837721616e-13,DSi * season,FALSE
3,0.762947954994729,DSi * season,FALSE
4,0.762947954994843,DSi * season,FALSE
5,2.47609205520689,DSi * season,FALSE
6,2.47609205520689,DSi * season,FALSE
7,3.11372408628245,DSi * season,FALSE
8,3.11372408628256,DSi * season,FALSE
9,3.22272371763677,DSi * season,FALSE
10,3.22272371763677,DSi * season,FALSE
